COMPANY_NAME,SECTOR_NAME,SYMBOL,OPEN_PRICE,CLOSE_PRICE,HIGH_PRICE,LOW_PRICE,TOTAL_TRADED_QUANTITY,BUSINESS_DATE
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3333,3292,3335,3285,7791,9/12/2022
Pokhara Finance Ltd.,Finance,PFL,352,352,359,352,2940,9/12/2022
NMB Bank Limited,Commercial Banks,NMB,240,237,240,236.9,31371,9/12/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,322,324,326.4,321,3802,9/12/2022
Guheswori Merchant Banking & Finance Ltd.,Finance,GMFIL,331.6,330,332.9,326.2,10805,9/12/2022
Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,SWBBL,1220,1192,1220,1191.1,5144,9/12/2022
Arun Valley Hydropower Development Co. Ltd.,Hydro Power,AHPC,325,318.1,325,316,44614,9/12/2022
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,NMLBBL,895,879,895,859,2166,9/12/2022
Jyoti Bikas Bank Limited,Development Banks,JBBL,286,283,287,280.5,21389,9/12/2022
SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,SADBL,303,303.2,304,301.3,17975,9/12/2022
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,SLBBL,874,870,874,858.5,666,9/12/2022
Sindhu Bikash Bank Ltd,Development Banks,SINDU,283.4,275,283.4,264,6944,9/12/2022
Barun Hydropower Co. Ltd.,Hydro Power,BARUN,243,244.5,247.8,240.4,1623,9/12/2022
Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,VLBS,865.5,860,865.5,850.1,1425,9/12/2022
Kisan Lagubitta Bittiya Sanstha Limited,Microfinance,KLBSL,855,848,855,847.7,161,9/12/2022
API POWER COMPANY LIMITED,Hydro Power,API,237.4,229,237.4,227,99481,9/12/2022
NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance,NMBMF,705,705,706,702.1,1001,9/12/2022
Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,GILB,1250,1236,1271,1236,736,9/12/2022
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,SWMF,737,742,745,736,1457,9/12/2022
Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,MERO,804,787,804,784,1849,9/12/2022
Hydorelectricity Investment and Development Company Ltd,Investment,HIDCL,186,184.1,189,183,41751,9/12/2022
Ngadi Group Power Ltd.,Hydro Power,NGPL,237.7,236,247,233.5,30666,9/12/2022
Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,FOWAD,2569.8,2550,2569.9,2545,4952,9/12/2022
United Modi Hydropower Ltd.,Hydro Power,UMHL,252.1,250,256,246,45426,9/12/2022
Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,SMATA,770,775,776,760,257,9/12/2022
Chhyangdi Hydropower Ltd.,Hydro Power,CHL,230,229,231,227,1472,9/12/2022
Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,MSLB,1072.3,1075.2,1076,1072.3,142,9/12/2022
Saptakoshi Development bank Ltd,Development Banks,SAPDBL,227,221,227,220.6,3760,9/12/2022
Himalayan Hydropower Limited,Hydro Power,HHL,272,268.1,275,268.1,5763,9/12/2022
Himalayan Bank Limited,Commercial Banks,HBL,326.5,322,326.9,321,4694,9/13/2022
Nepal SBI Bank Limited,Commercial Banks,SBI,270,274.9,276.8,270,987,9/13/2022
Everest Bank Limited,Commercial Banks,EBL,490.1,485,490.1,481,6033,9/13/2022
Siddhartha Bank Limited,Commercial Banks,SBL,302,302.9,304.8,298.2,30382,9/13/2022
Butwal Power Company Limited,Hydro Power,BPCL,303,308,310,303,5939,9/13/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,378,373,380.9,370,11776,9/13/2022
Sanima Bank Limited,Commercial Banks,SANIMA,256,256,256.8,253,17783,9/13/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,18050,18100,18100,18050,50,9/13/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3330,3379.9,3384,3285,6469,9/13/2022
Pokhara Finance Ltd.,Finance,PFL,359,364,366,357,5461,9/13/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,401,396,401,393,11577,8/26/2022
Sanima Bank Limited,Commercial Banks,SANIMA,266,260,267,259,21929,8/26/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,18400,18500,18500,18400,20,8/26/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3525,3460,3525,3445,9079,8/26/2022
Pokhara Finance Ltd.,Finance,PFL,389.2,380,389.2,378,9676,8/26/2022
NMB Bank Limited,Commercial Banks,NMB,250.9,252,253,250,18641,8/26/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,346.5,347,348,340.2,14943,8/26/2022
Guheswori Merchant Banking & Finance Ltd.,Finance,GMFIL,358,354.9,358,348,25302,8/26/2022
Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,SWBBL,1314,1297.5,1314,1295.1,4973,8/26/2022
Arun Valley Hydropower Development Co. Ltd.,Hydro Power,AHPC,350.1,349,356.8,349,81926,8/26/2022
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,NMLBBL,944,944.1,949,940.1,643,8/26/2022
Jyoti Bikas Bank Limited,Development Banks,JBBL,304,300,305,300,27297,8/26/2022
SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,SADBL,320,320,322,316.4,69597,8/26/2022
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,SLBBL,985,961,988,955.1,1355,8/26/2022
Sindhu Bikash Bank Ltd,Development Banks,SINDU,300,303,311,299.3,17262,8/26/2022
Barun Hydropower Co. Ltd.,Hydro Power,BARUN,279,277,279,273,4238,8/26/2022
Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,VLBS,960,977,978,960,136,8/26/2022
Kisan Lagubitta Bittiya Sanstha Limited,Microfinance,KLBSL,912,929.5,929.5,911.4,74,8/26/2022
API POWER COMPANY LIMITED,Hydro Power,API,267.3,263.1,270.1,262.3,120033,8/26/2022
NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance,NMBMF,779,757,785,757,2308,8/26/2022
Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,GILB,1288.2,1305,1305,1288.2,695,8/26/2022
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,SWMF,792,785.6,792,775,2747,8/26/2022
Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,MERO,857,847.1,859.9,845,2171,8/26/2022
Hydorelectricity Investment and Development Company Ltd,Investment,HIDCL,205,202.5,205,200,78494,8/26/2022
Ngadi Group Power Ltd.,Hydro Power,NGPL,270,268.5,270,267.4,14804,8/26/2022
Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,FOWAD,2650,2676,2699,2650,4102,8/26/2022
United Modi Hydropower Ltd.,Hydro Power,UMHL,285,283,285.3,280,26389,8/26/2022
Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,SMATA,830,831,842,830,145,8/26/2022
Chhyangdi Hydropower Ltd.,Hydro Power,CHL,255,251,255,246,7047,8/26/2022
Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,MSLB,1178,1197,1197,1178,340,8/26/2022
Saptakoshi Development bank Ltd,Development Banks,SAPDBL,225,220,225,217.6,4880,9/18/2022
Himalayan Hydropower Limited,Hydro Power,HHL,267,250.1,267,248,12680,9/18/2022
Himalayan Bank Limited,Commercial Banks,HBL,319,314,323.7,313.1,8991,9/20/2022
Nepal SBI Bank Limited,Commercial Banks,SBI,260,257.9,260,254,16421,9/20/2022
Everest Bank Limited,Commercial Banks,EBL,481,471.6,482,470.1,16279,9/20/2022
Siddhartha Bank Limited,Commercial Banks,SBL,296,289.5,296.8,289.1,45540,9/20/2022
Butwal Power Company Limited,Hydro Power,BPCL,296,292.1,296,292,10845,9/20/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,360,354.1,364,352.2,18008,9/20/2022
Sanima Bank Limited,Commercial Banks,SANIMA,246,241.6,246,237.6,26385,9/20/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,17700,17700,17701,17600,80,9/20/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3271,3210,3271,3200,17559,9/20/2022
Pokhara Finance Ltd.,Finance,PFL,336.3,330,340,321.6,8691,9/20/2022
NMB Bank Limited,Commercial Banks,NMB,232,230,234.9,228,31286,9/20/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,311,304,311,302.3,8680,9/20/2022
Guheswori Merchant Banking & Finance Ltd.,Finance,GMFIL,318,310.5,320.2,307,19741,9/20/2022
Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,SWBBL,1150,1135,1180,1120,6263,9/20/2022
Arun Valley Hydropower Development Co. Ltd.,Hydro Power,AHPC,300,292,305.2,290,70732,9/20/2022
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,NMLBBL,820,835,836.4,809,2003,9/20/2022
Jyoti Bikas Bank Limited,Development Banks,JBBL,273,266.9,274,265,41461,9/20/2022
SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,SADBL,290,283,290,281.3,19891,9/20/2022
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,SLBBL,824.2,815,824.2,810,2497,9/20/2022
Sindhu Bikash Bank Ltd,Development Banks,SINDU,259,257,268,250,10748,9/20/2022
Barun Hydropower Co. Ltd.,Hydro Power,BARUN,235,213,235,213,12361,9/20/2022
Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,VLBS,845,820,861,814,2196,9/20/2022
Kisan Lagubitta Bittiya Sanstha Limited,Microfinance,KLBSL,808.5,777,808.5,777,409,9/20/2022
API POWER COMPANY LIMITED,Hydro Power,API,213.9,211.5,217,209,143723,9/20/2022
NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance,NMBMF,675,665,678,663,1740,9/20/2022
Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,GILB,1175,1158,1200,1158,1397,9/20/2022
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,SWMF,700,702,708,686,2398,9/20/2022
Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,MERO,774,745,774,744.2,3519,9/20/2022
Hydorelectricity Investment and Development Company Ltd,Investment,HIDCL,179.9,174.5,179.9,173,85875,9/20/2022
Ngadi Group Power Ltd.,Hydro Power,NGPL,221.2,216,230.2,215.6,16561,9/20/2022
Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,FOWAD,2501,2475.1,2510,2475,6787,9/20/2022
United Modi Hydropower Ltd.,Hydro Power,UMHL,239.5,233,243,230,53610,9/20/2022
Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,SMATA,733,727,738,727,486,9/20/2022
Chhyangdi Hydropower Ltd.,Hydro Power,CHL,213,204,213,197.2,6730,9/20/2022
Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,MSLB,1075.1,1065.2,1075.2,1065.2,485,9/20/2022
Saptakoshi Development bank Ltd,Development Banks,SAPDBL,217,207,219,204.4,11541,9/20/2022
Himalayan Hydropower Limited,Hydro Power,HHL,246,240,246,233.1,9508,9/20/2022
Himalayan Bank Limited,Commercial Banks,HBL,315,315,318,314.1,4518,9/21/2022
Nepal SBI Bank Limited,Commercial Banks,SBI,263,256.9,263,255,9753,9/21/2022
Everest Bank Limited,Commercial Banks,EBL,481,479.4,483.9,471,8194,9/21/2022
Siddhartha Bank Limited,Commercial Banks,SBL,290,291,292,286,19076,9/21/2022
Butwal Power Company Limited,Hydro Power,BPCL,297.9,292,297.9,290,6327,9/21/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,354,355.3,360,354,5270,9/21/2022
Sanima Bank Limited,Commercial Banks,SANIMA,243.9,243.6,246,237,27595,9/21/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,17401,17750,17750,17401,30,9/21/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3210,3269,3282,3200,7376,9/21/2022
Pokhara Finance Ltd.,Finance,PFL,325,338.9,350.6,325,7490,9/21/2022
NMB Bank Limited,Commercial Banks,NMB,233.9,229,234.6,228,15903,9/21/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,309.4,312.9,315,307.7,5491,9/21/2022
NMB Bank Limited,Commercial Banks,NMB,240,238,240,237.1,12617,9/13/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,327.5,331.9,332.9,323.5,8087,9/13/2022
Guheswori Merchant Banking & Finance Ltd.,Finance,GMFIL,336,338,342,336,9331,9/13/2022
Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,SWBBL,1214,1223,1224,1210,4060,9/13/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1218,1180.2,1218,1180.2,799,9/12/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,884,859,884,826.4,2874,9/12/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,544.7,526,566.6,524,2794,9/12/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,945,935.9,945,935.9,80,9/12/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,9/13/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,635,633,635,631,21945,9/13/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,222.8,224,227,220,9340,9/13/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,205.9,206.4,206.8,202.8,18972,9/13/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,984,970,984,966,2320,9/13/2022
Janaki Finance Company Limited,Finance,JFL,384,386,397,382,6425,9/13/2022
ICFC Finance Limited,Finance,ICFC,462,465,469,460,14319,9/13/2022
Nepal Doorsanchar Company Limited,Others,NTC,860,859.8,867,853.1,18430,9/13/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,9/13/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,194.9,194.5,196,193,13739,9/13/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,357,367,370.9,357,25767,9/13/2022
Garima Bikas Bank Limited,Development Banks,GBBL,370,377,381,370,10466,9/13/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,303,302,305,300,13970,9/13/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,425,425,429.6,423,8202,9/13/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,670,678,681.9,665,3979,9/13/2022
Manjushree Finance Ltd.,Finance,MFIL,390,395,400,385,12253,9/13/2022
Sanima Mai Hydropower Limited,Hydro Power,SHPC,276,278,279.7,274.1,31247,9/13/2022
Ridi Power Company Limited,Hydro Power,RIDI,567,564,577,560,99180,9/13/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1176.4,1200,1203,1175.1,1881,9/13/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,859,857,876,833.2,2356,9/13/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,536,534.9,540,528,1281,9/13/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,918,950,959.8,918,105,9/13/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,9/14/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,635,650,650,635,18053,9/14/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,225,227.9,228,223.1,14466,9/14/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,210.5,210,211.9,203.1,25799,9/14/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,989,986.4,994.9,980,4976,9/14/2022
Janaki Finance Company Limited,Finance,JFL,392.9,410,410,390,17047,9/14/2022
ICFC Finance Limited,Finance,ICFC,470,496,497,470,48244,9/14/2022
Nepal Doorsanchar Company Limited,Others,NTC,869,883,887,861,30005,9/14/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,9/14/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,194.5,198.5,198.5,194.5,24364,9/14/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,371,386,388.5,370.5,46840,9/14/2022
Garima Bikas Bank Limited,Development Banks,GBBL,384,394.9,395,379,38425,9/14/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,302,315.5,316.2,302,23827,9/14/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,433.5,444.5,449.7,426,40071,9/14/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,680,694,694,680,10575,9/14/2022
Manjushree Finance Ltd.,Finance,MFIL,400,419.9,422.4,400,21266,9/14/2022
Sanima Mai Hydropower Limited,Hydro Power,SHPC,276,287.3,289.5,276,49888,9/14/2022
Ridi Power Company Limited,Hydro Power,RIDI,575.2,577,580,566,64873,9/14/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1223,1215,1234,1213,1590,9/14/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,867,863,876,850,1861,9/14/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,537,550,550,536,2558,9/14/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,968,940,968,940,470,9/14/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,9/15/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,653,630,653,628.1,41415,9/15/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,227,220,227.4,219.5,22332,9/15/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,212.9,203.7,212.9,203.2,34839,9/15/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,1003.7,952.1,1003.7,952.1,8623,9/15/2022
Janaki Finance Company Limited,Finance,JFL,414,383.1,415,381,18383,9/15/2022
ICFC Finance Limited,Finance,ICFC,495,470,499.9,465.7,51061,9/15/2022
Nepal Doorsanchar Company Limited,Others,NTC,888,849,893,845,78082,9/15/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,9/15/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,198,193.8,198,193,31701,9/15/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,390,367,390,365,80220,9/15/2022
Garima Bikas Bank Limited,Development Banks,GBBL,395,378.5,399,375,45893,9/15/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,310.2,303,316.4,299.9,38309,9/15/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,447,427,447,423.1,27683,9/15/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,700,663.4,705,660,16165,9/15/2022
Manjushree Finance Ltd.,Finance,MFIL,420,400,423,398.5,21919,9/15/2022
Sanima Mai Hydropower Limited,Hydro Power,SHPC,291,277.9,291,272.1,52032,9/15/2022
Ridi Power Company Limited,Hydro Power,RIDI,568,550,576.8,544,209781,9/15/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1239,1180,1239,1178,987,9/15/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,880,840.1,880,840,738,9/15/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,555,537,555,525,5222,9/15/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,930,930,956,925.1,290,9/15/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,9/16/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,621,627,629.9,618,19072,9/16/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,217,217.5,220,216.1,11747,9/16/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,200.1,202,202.9,198,20136,9/16/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,945,950.1,960,935,2854,9/16/2022
Janaki Finance Company Limited,Finance,JFL,375.5,376,383.5,368,3935,9/16/2022
ICFC Finance Limited,Finance,ICFC,461,462,466,442,27045,9/16/2022
Nepal Doorsanchar Company Limited,Others,NTC,840,850,854.8,823,27275,9/16/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,9/16/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,191,192.3,194,188.8,21984,9/16/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,360,360,365.9,348.1,41116,9/16/2022
Garima Bikas Bank Limited,Development Banks,GBBL,371,374,380,364,23566,9/16/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,297,298,300,290.2,41088,9/16/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,419,422,427.3,411,25402,9/16/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,650.3,663.1,676.6,640,7643,9/16/2022
Manjushree Finance Ltd.,Finance,MFIL,392,393,397,383.2,12743,9/16/2022
Sanima Mai Hydropower Limited,Hydro Power,SHPC,272.4,275,275,262,20127,9/16/2022
Ridi Power Company Limited,Hydro Power,RIDI,539,537,540.1,522.2,79516,9/16/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1170,1177,1181,1157,1522,9/16/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,823.3,815,839,807,1070,9/16/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,527,530,534,519,1111,9/16/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,911.5,919,919,903,110,9/16/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,9/18/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,620.1,617.1,626.9,617,38395,9/18/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,217,216,219,216,14224,9/18/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,199.1,198,204,197,23672,9/18/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,946,928,948,926.5,5217,9/18/2022
Janaki Finance Company Limited,Finance,JFL,355,351.8,357,348,6095,9/20/2022
ICFC Finance Limited,Finance,ICFC,441,430.4,446,430.4,22812,9/20/2022
Nepal Doorsanchar Company Limited,Others,NTC,840,817,840,816.3,21524,9/20/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,9/20/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,188.5,188.6,190,186.3,30901,9/20/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,349,335,349,332,49478,9/20/2022
Arun Valley Hydropower Development Co. Ltd.,Hydro Power,AHPC,318.1,320,327,318,26014,9/13/2022
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,NMLBBL,885,887,894.5,880,1310,9/13/2022
Jyoti Bikas Bank Limited,Development Banks,JBBL,283,288,291.9,283,18896,9/13/2022
SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,SADBL,307,309.2,311,305.6,20028,9/13/2022
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,SLBBL,882,882,882,870,2157,9/13/2022
Sindhu Bikash Bank Ltd,Development Banks,SINDU,274,278,286.9,274,8842,9/13/2022
Barun Hydropower Co. Ltd.,Hydro Power,BARUN,244.5,245,248,241.1,1976,9/13/2022
Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,VLBS,876,880,880,870,875,9/13/2022
Kisan Lagubitta Bittiya Sanstha Limited,Microfinance,KLBSL,841,848,864,841,257,9/13/2022
API POWER COMPANY LIMITED,Hydro Power,API,225.1,231.2,235,225.1,93427,9/13/2022
NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance,NMBMF,705,720,720,705,1869,9/13/2022
Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,GILB,1213,1255,1265,1212,1030,9/13/2022
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,SWMF,750,755,763,740.1,3314,9/13/2022
Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,MERO,798,798,802,795,1582,9/13/2022
Hydorelectricity Investment and Development Company Ltd,Investment,HIDCL,183,188,190,181,52919,9/13/2022
Ngadi Group Power Ltd.,Hydro Power,NGPL,240.7,236,241,235.3,22762,9/13/2022
Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,FOWAD,2550,2574.8,2599,2550,3144,9/13/2022
United Modi Hydropower Ltd.,Hydro Power,UMHL,254.9,256,261.1,252,37782,9/13/2022
Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,SMATA,785,771,786,771,120,9/13/2022
Chhyangdi Hydropower Ltd.,Hydro Power,CHL,232,234.5,236,232,2645,9/13/2022
Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,MSLB,1088,1114.9,1114.9,1088,110,9/13/2022
Saptakoshi Development bank Ltd,Development Banks,SAPDBL,224,224.5,229,220,7096,9/13/2022
Himalayan Hydropower Limited,Hydro Power,HHL,273.1,270.7,281,265,4920,9/13/2022
Himalayan Bank Limited,Commercial Banks,HBL,327,329,330,326,4932,9/14/2022
Nepal SBI Bank Limited,Commercial Banks,SBI,277.9,278,278,273.9,8353,9/14/2022
Everest Bank Limited,Commercial Banks,EBL,493.5,499.8,499.8,490.2,13678,9/14/2022
Siddhartha Bank Limited,Commercial Banks,SBL,308.7,307.9,309.9,300,37309,9/14/2022
Butwal Power Company Limited,Hydro Power,BPCL,307,314,317,307,15975,9/14/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,373,380.2,383,373,15596,9/14/2022
Sanima Bank Limited,Commercial Banks,SANIMA,259,258,261.9,256.2,33647,9/14/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,18421,18400,18421,18400,20,9/14/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3379.9,3499.9,3500,3379.9,11332,9/14/2022
Pokhara Finance Ltd.,Finance,PFL,370,384,384.9,365.1,20899,9/14/2022
NMB Bank Limited,Commercial Banks,NMB,239.9,240.9,242.7,238,21555,9/14/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,325.3,350,351,325.3,20095,9/14/2022
Guheswori Merchant Banking & Finance Ltd.,Finance,GMFIL,339,360,360.2,339,23550,9/14/2022
Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,SWBBL,1225,1264.9,1272,1225,7329,9/14/2022
Arun Valley Hydropower Development Co. Ltd.,Hydro Power,AHPC,323,335,337,323,62780,9/14/2022
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,NMLBBL,900,918,921,898,2248,9/14/2022
Jyoti Bikas Bank Limited,Development Banks,JBBL,291,300,303,290.8,58141,9/14/2022
SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,SADBL,313.4,319,322,310,53799,9/14/2022
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,SLBBL,882,910,910,882,4170,9/14/2022
Sindhu Bikash Bank Ltd,Development Banks,SINDU,283,297,304.9,277.4,27580,9/14/2022
Barun Hydropower Co. Ltd.,Hydro Power,BARUN,248,254,254,244,6542,9/14/2022
Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,VLBS,897.6,907.9,907.9,890,382,9/14/2022
